"lats","lons"
-24,-9.75
-24,-9
-24,-8.25
-24,-7.5
-24,-6.75
-24,-6
-24,-5.25
-24,-4.5
-24,-3.75
-24,-3
-24,-2.25
-24,-1.5
-24,-0.75
-24,0
-24,0.75
-24,1.5
-24,2.25
-24,3
-24,3.75
-24,4.5
-24,5.25
-24,6
-24,6.75
-24,7.5
-24,8.25
-24,9
-24,9.75
-24,10.5
-24,11.25
-24,12
-24,12.75
-24,13.5
-24,14.25
-24,15
-24,15.75
-24,16.5
-24,17.25
-24,18
-24,18.75
-24,19.5
-24,20.25
-24,21
-24,21.75
-24,22.5
-24,23.25
-24,24
-24,24.75
-24,25.5
-24,26.25
-24,27
-24,27.75
-24,28.5
-24,29.25
-24,30
-23.25,-9.75
-23.25,-9
-23.25,-8.25
-23.25,-7.5
-23.25,-6.75
-23.25,-6
-23.25,-5.25
-23.25,-4.5
-23.25,-3.75
-23.25,-3
-23.25,-2.25
-23.25,-1.5
-23.25,-0.75
-23.25,0
-23.25,0.75
-23.25,1.5
-23.25,2.25
-23.25,3
-23.25,3.75
-23.25,4.5
-23.25,5.25
-23.25,6
-23.25,6.75
-23.25,7.5
-23.25,8.25
-23.25,9
-23.25,9.75
-23.25,10.5
-23.25,11.25
-23.25,12
-23.25,12.75
-23.25,13.5
-23.25,14.25
-23.25,15
-23.25,15.75
-23.25,16.5
-23.25,17.25
-23.25,18
-23.25,18.75
-23.25,19.5
-23.25,20.25
-23.25,21
-23.25,21.75
-23.25,22.5
-23.25,23.25
-23.25,24
-23.25,24.75
-23.25,25.5
-23.25,26.25
-23.25,27
-23.25,27.75
-23.25,28.5
-23.25,29.25
-23.25,30
-22.5,-9.75
-22.5,-9
-22.5,-8.25
-22.5,-7.5
-22.5,-6.75
-22.5,-6
-22.5,-5.25
-22.5,-4.5
-22.5,-3.75
-22.5,-3
-22.5,-2.25
-22.5,-1.5
-22.5,-0.75
-22.5,0
-22.5,0.75
-22.5,1.5
-22.5,2.25
-22.5,3
-22.5,3.75
-22.5,4.5
-22.5,5.25
-22.5,6
-22.5,6.75
-22.5,7.5
-22.5,8.25
-22.5,9
-22.5,9.75
-22.5,10.5
-22.5,11.25
-22.5,12
-22.5,12.75
-22.5,13.5
-22.5,14.25
-22.5,15
-22.5,15.75
-22.5,16.5
-22.5,17.25
-22.5,18
-22.5,18.75
-22.5,19.5
-22.5,20.25
-22.5,21
-22.5,21.75
-22.5,22.5
-22.5,23.25
-22.5,24
-22.5,24.75
-22.5,25.5
-22.5,26.25
-22.5,27
-22.5,27.75
-22.5,28.5
-22.5,29.25
-22.5,30
-21.75,-9.75
-21.75,-9
-21.75,-8.25
-21.75,-7.5
-21.75,-6.75
-21.75,-6
-21.75,-5.25
-21.75,-4.5
-21.75,-3.75
-21.75,-3
-21.75,-2.25
-21.75,-1.5
-21.75,-0.75
-21.75,0
-21.75,0.75
-21.75,1.5
-21.75,2.25
-21.75,3
-21.75,3.75
-21.75,4.5
-21.75,5.25
-21.75,6
-21.75,6.75
-21.75,7.5
-21.75,8.25
-21.75,9
-21.75,9.75
-21.75,10.5
-21.75,11.25
-21.75,12
-21.75,12.75
-21.75,13.5
-21.75,14.25
-21.75,15
-21.75,15.75
-21.75,16.5
-21.75,17.25
-21.75,18
-21.75,18.75
-21.75,19.5
-21.75,20.25
-21.75,21
-21.75,21.75
-21.75,22.5
-21.75,23.25
-21.75,24
-21.75,24.75
-21.75,25.5
-21.75,26.25
-21.75,27
-21.75,27.75
-21.75,28.5
-21.75,29.25
-21.75,30
-21,-9.75
-21,-9
-21,-8.25
-21,-7.5
-21,-6.75
-21,-6
-21,-5.25
-21,-4.5
-21,-3.75
-21,-3
-21,-2.25
-21,-1.5
-21,-0.75
-21,0
-21,0.75
-21,1.5
-21,2.25
-21,3
-21,3.75
-21,4.5
-21,5.25
-21,6
-21,6.75
-21,7.5
-21,8.25
-21,9
-21,9.75
-21,10.5
-21,11.25
-21,12
-21,12.75
-21,13.5
-21,14.25
-21,15
-21,15.75
-21,16.5
-21,17.25
-21,18
-21,18.75
-21,19.5
-21,20.25
-21,21
-21,21.75
-21,22.5
-21,23.25
-21,24
-21,24.75
-21,25.5
-21,26.25
-21,27
-21,27.75
-21,28.5
-21,29.25
-21,30
-20.25,-9.75
-20.25,-9
-20.25,-8.25
-20.25,-7.5
-20.25,-6.75
-20.25,-6
-20.25,-5.25
-20.25,-4.5
-20.25,-3.75
-20.25,-3
-20.25,-2.25
-20.25,-1.5
-20.25,-0.75
-20.25,0
-20.25,0.75
-20.25,1.5
-20.25,2.25
-20.25,3
-20.25,3.75
-20.25,4.5
-20.25,5.25
-20.25,6
-20.25,6.75
-20.25,7.5
-20.25,8.25
-20.25,9
-20.25,9.75
-20.25,10.5
-20.25,11.25
-20.25,12
-20.25,12.75
-20.25,13.5
-20.25,14.25
-20.25,15
-20.25,15.75
-20.25,16.5
-20.25,17.25
-20.25,18
-20.25,18.75
-20.25,19.5
-20.25,20.25
-20.25,21
-20.25,21.75
-20.25,22.5
-20.25,23.25
-20.25,24
-20.25,24.75
-20.25,25.5
-20.25,26.25
-20.25,27
-20.25,27.75
-20.25,28.5
-20.25,29.25
-20.25,30
-19.5,-9.75
-19.5,-9
-19.5,-8.25
-19.5,-7.5
-19.5,-6.75
-19.5,-6
-19.5,-5.25
-19.5,-4.5
-19.5,-3.75
-19.5,-3
-19.5,-2.25
-19.5,-1.5
-19.5,-0.75
-19.5,0
-19.5,0.75
-19.5,1.5
-19.5,2.25
-19.5,3
-19.5,3.75
-19.5,4.5
-19.5,5.25
-19.5,6
-19.5,6.75
-19.5,7.5
-19.5,8.25
-19.5,9
-19.5,9.75
-19.5,10.5
-19.5,11.25
-19.5,12
-19.5,12.75
-19.5,13.5
-19.5,14.25
-19.5,15
-19.5,15.75
-19.5,16.5
-19.5,17.25
-19.5,18
-19.5,18.75
-19.5,19.5
-19.5,20.25
-19.5,21
-19.5,21.75
-19.5,22.5
-19.5,23.25
-19.5,24
-19.5,24.75
-19.5,25.5
-19.5,26.25
-19.5,27
-19.5,27.75
-19.5,28.5
-19.5,29.25
-19.5,30
-18.75,-9.75
-18.75,-9
-18.75,-8.25
-18.75,-7.5
-18.75,-6.75
-18.75,-6
-18.75,-5.25
-18.75,-4.5
-18.75,-3.75
-18.75,-3
-18.75,-2.25
-18.75,-1.5
-18.75,-0.75
-18.75,0
-18.75,0.75
-18.75,1.5
-18.75,2.25
-18.75,3
-18.75,3.75
-18.75,4.5
-18.75,5.25
-18.75,6
-18.75,6.75
-18.75,7.5
-18.75,8.25
-18.75,9
-18.75,9.75
-18.75,10.5
-18.75,11.25
-18.75,12
-18.75,12.75
-18.75,13.5
-18.75,14.25
-18.75,15
-18.75,15.75
-18.75,16.5
-18.75,17.25
-18.75,18
-18.75,18.75
-18.75,19.5
-18.75,20.25
-18.75,21
-18.75,21.75
-18.75,22.5
-18.75,23.25
-18.75,24
-18.75,24.75
-18.75,25.5
-18.75,26.25
-18.75,27
-18.75,27.75
-18.75,28.5
-18.75,29.25
-18.75,30
-18,-9.75
-18,-9
-18,-8.25
-18,-7.5
-18,-6.75
-18,-6
-18,-5.25
-18,-4.5
-18,-3.75
-18,-3
-18,-2.25
-18,-1.5
-18,-0.75
-18,0
-18,0.75
-18,1.5
-18,2.25
-18,3
-18,3.75
-18,4.5
-18,5.25
-18,6
-18,6.75
-18,7.5
-18,8.25
-18,9
-18,9.75
-18,10.5
-18,11.25
-18,12
-18,12.75
-18,13.5
-18,14.25
-18,15
-18,15.75
-18,16.5
-18,17.25
-18,18
-18,18.75
-18,19.5
-18,20.25
-18,21
-18,21.75
-18,22.5
-18,23.25
-18,24
-18,24.75
-18,25.5
-18,26.25
-18,27
-18,27.75
-18,28.5
-18,29.25
-18,30
-17.25,-9.75
-17.25,-9
-17.25,-8.25
-17.25,-7.5
-17.25,-6.75
-17.25,-6
-17.25,-5.25
-17.25,-4.5
-17.25,-3.75
-17.25,-3
-17.25,-2.25
-17.25,-1.5
-17.25,-0.75
-17.25,0
-17.25,0.75
-17.25,1.5
-17.25,2.25
-17.25,3
-17.25,3.75
-17.25,4.5
-17.25,5.25
-17.25,6
-17.25,6.75
-17.25,7.5
-17.25,8.25
-17.25,9
-17.25,9.75
-17.25,10.5
-17.25,11.25
-17.25,12
-17.25,12.75
-17.25,13.5
-17.25,14.25
-17.25,15
-17.25,15.75
-17.25,16.5
-17.25,17.25
-17.25,18
-17.25,18.75
-17.25,19.5
-17.25,20.25
-17.25,21
-17.25,21.75
-17.25,22.5
-17.25,23.25
-17.25,24
-17.25,24.75
-17.25,25.5
-17.25,26.25
-17.25,27
-17.25,27.75
-17.25,28.5
-17.25,29.25
-17.25,30
-16.5,-9.75
-16.5,-9
-16.5,-8.25
-16.5,-7.5
-16.5,-6.75
-16.5,-6
-16.5,-5.25
-16.5,-4.5
-16.5,-3.75
-16.5,-3
